0
PRKCQ
UIMC1
CYFIP2
UBE2V1
RPS6KA5
SELP
FOSB
FGFR1
ARAF
EPB41L1
AKT3
ITGB7
PML
PRKRA
MED23
ALDH3B2
VAMP2
GNAQ
RPA1
DKC1
FKBP5
SPRED1
MFNG
CALM2
CD3E
DYNC1I1
KLF11
ID1
ITCH
DPAGT1
STK4
RACGAP1
TERF2IP
SMC1A
NFKBIA
GNAL
CNTN6
KNG1
LCOR
MAP4K3
XRCC4
MTSS1
PTCH1
SCAI
PINX1
ITGA1
NDRG1
IFT172
NPPA
WRN
STXBP1
RPA2
LIG4
PLCG1
CNN2
TNFRSF10D
MYO10
GUCA1A
RASA3
KIF2C
PPP2R1A
SMPD2
VASP
LRP8
PHB2
LMNB1
RAB23
RPL30
CSNK2B
PRKACA
TGFBR1
RUVBL2
KCNK6
SQSTM1
RBX1
GAS1
PRDX3
CD19
DDIT4
GSN
MKNK1
DYNLT1
ATF6
NCOA6
HLX
KRT5
HSPA4
CHD3
IRF3
TOPBP1
BCAR3
CYSLTR2
PREX1
NET1
MAGEA1
NCOR1
PRKCSH
CTBP2
LAMA2
FOXG1-AS1
RRM2
IL10RA
CLOCK
OPHN1
PDGFRB
JDP2
YWHAE
CXCL13
MFGE8
HBP1
UBE2D1
KRT1
MOB1A
TAOK1
HHAT
ARHGEF6
RETNLB
PAX5
GULP1
ARNTL
EFNA5
FCER1G
ARHGEF5
NOTCH3
RPS13
RASSF1
NFATC1
SKAP2
LIN7C
VAPA
PLK1
HBG2
AKT1S1
CSTF1
RNF128
CA9
NKD1
WIPF1
TCF3
RGMA
FOXG1
ACD
METTL1
USP2-AS1
CASP1
TXLNG
MYBL2
KIZ
RDH5
DAP3
DDIT3
PSMD13
KIR3DL1
UBE3A
TYK2
CDC42BPA
NR1H3
SOX4
MAPK9
ARHGAP1
RANBP3
TRIAP1
CSE1L
DOK6
PRKCA
CDX2
MMP3
SNW1
DLGAP5
PRKAA1
ANGPTL3
PFKP
GK2
FANCI
HLA-F
BEX3
DAGLB
NACA
PSEN1
BUB1
SMARCC2
CD81
AEN
MAPK13
RBPJ
SLC9A3R2
KITLG
E4F1
NTRK1
ETS1
PELI1
SLC1A5
IL12B
COPA
CAV3
ARRB2
RPL5
LIN28B
RAD17
CDH5
KRT18
GNAO1
GIPC1
KLK6
BDNF
SHBG
NPHS2
KRAS
LIFR
RALBP1
AMPH
ATM
MXD4
KCNN1
RRAD
HSF2
SFRP2
E2F4
WT1-AS
TNFRSF10C
XRCC1
RAP2A
COL2A1
IGF1
VAV1
MLX
CDK2
DLX5
DCN
TLR1
SERPINI1
VAMP3
PARD3
NFYC
UXT
KLF8
SH3GL2
ZNF14
TJP1
DOCK4
ATP2B1
PSG1
ARPC1B
DUSP16
MAP1B
CSRP2
EGLN2
CLIP1
PRKCD
PKN2
IRF9
IFNA14
RNF8
UNC13B
KDM3A
SNCAIP
CDC37
ITGA6
POLDIP3
NMB
MTOR
TNFRSF10B
IL4
SHANK3
BIRC5
PAFAH1B2
PPP1CA
LCP1
MSN
TAF1
PIP4K2B
FES
NEURL1
SIK2
CD163
HIPK2
EIF2A
ANAPC7
PAK3
ASAP2
LGALS3
IRAK3
MAP1LC3C
MAP4K5
RFC4
MUC4
NFATC2
MMACHC
DOK1
FBXW7
ATRIP
ALDOB
ATP2B4
TXN2
FZD1
APH1A
NR1D1
SERPINC1
ZFAND5
TP73
ATP6AP2
JAK1
DUSP9
DNM1
TACC1
STAMBPL1
SND1
EPHA4
ADRB2
DOCK7
NBN
TICAM2
GAA
ZBTB33
TIPIN
ELMO1
PIM1
HGF
LEF1
IL1RAP
PPP1CC
DLX1
RABGGTB
SIRT1
PRKAA2
ARHGDIB
DDX54
ITGA4
RAD1
VHL
TXLNA
SMARCA4
GABRB3
NLRP4
MYL1
BMPR1B
S100A7
RNF43
MCC
F2RL2
B2M
ACTN4
BSG
CA6
GFRA1
VCAN
IL11
RNMT
PSMD2
CENPB
CASK
STAT6
INPPL1
PRDM1
ASIP
NFYB
ZFYVE16
PTP4A1
CHD8
DEPTOR
ACVR1
DSCAM
CYSLTR1
DAG1
RAG2
IL12RB1
FBN1
GYS2
NKX2-5
TSLP
KPNA3
FZD6
CPT1A
DOCK1
SNAI2
NOC2L
BAIAP2
TCF7
WNT9A
ARHGEF28
PRKCZ
PGA5
NCOA7
FAAP24
JUNB
RHEB
EWSR1
PTPRA
ENG
GAP43
RING1
NOTCH4
COL6A2
PIDD1
RRM2B
ITGAD
ANAPC1
TGFBI
POLR2H
CHRM3
SMAD4
SERINC3
CYP27B1
USP6NL
ANAPC5
PXN
MCF2
SPTBN1
MYOG
AGRP
FZD9
YWHAH
NTS
STMN1
CCNK
NLRC4
RANGAP1
TRAF3
RORA
GNAZ
HES6
NR2E1
UCHL5
LRAT
CXCL9
RB1CC1
CDKL5
PLA2G1B
RPE65
SORBS1
ENO1
FRAT2
NEDD8
RSPO3
COL5A1
ADAM8
ADAM12
KRT19
SMAD5
ANAPC4
THRA
AMBRA1
CLSPN
ARHGAP4
IFNAR1
SULT2A1
DLL3
LRBA
HPX
RUNX2
SERPINA1
TNFAIP3
RASGRF1
DVL3
SSRP1
GRB7
SMAD3
COL3A1
KPNA6
PTPRC
ROCK2
CENPS
HSPA5
LEP
CD69
CAPN1
ERC1
NOD2
SMPD3
ICAM5
PLEC
TRAF6
TRIO
PFKL
LPAR3
STAP1
PDE6B
PDCD4
SERPINA2
LAMC3
LYZ
VIL1
DKK4
GNB2
CDK5R2
CMTM3
SRA1
NEK2
MAPKAP1
APBB1
CD247
PFKFB2
MAP2K3
KLRG1
DAXX
STUB1
NDRG2
DISP1
TFE3
CST2
TRIM28
PER2
ZCCHC12
NRAS
SCD
UNC5CL
ATG13
KL
KIDINS220
EIF4E
PIAS2
CITED1
RGS16
CTSC
MAT2A
CACNA1G
GALT
FKBP8
ILK
FOXA1
ADCY5
EPHA6
CES4A
FCGR3B
PLEKHG6
CSK
RBBP4
FZD10
PRDM15
VIPR1
MAX
TRAF5
BRD2
TRAF4
PIK3CB
SCRIB
RGS3
GOSR2
ARID3A
KLRC3
WNT11
RNASE1
FMN1
MYLK
SPRY2
CD79A
PDE9A
PLCB2
DIAPH3
DIAPH1
SEMA3C
PIK3C2B
EFNA2
ITGB4
TLR4
GPLD1
NEDD4L
MYF6
GATA4
PALB2
UCP2
CDK5
IFNG
KHK
IKZF3
TSC1
PVT1
KREMEN1
REL
TBKBP1
HMGN2
SAFB
LATS2
MMP2
SUPT3H
FZD7
DOK2
PCSK5
NTF4
BMX
LAMC1
FGF6
HDAC8
PPP2CA
RXRA
GUCA1B
KCNA4
ALOX15
MESD
POLR2L
COPS3
RRAS2
SARM1
NRG3
NPPC
ARF4
ID4
LLGL1
NR3C1
CCND2
TNPO1
CD1D
SMAD6
AR
CBY1
CTF1
HEY1
RGMB
GRK6
USF2
ICAM2
TNFSF11
MAP4K4
RASGRF2
PSMD7
FARP1
NHEJ1
FLNA
TXK
DLG1
CDK5R1
MYOCD
BRSK2
PTP4A2
HLA-DRA
CD4
PPARA
SH3BP5
DOCK3
CSNK1G1
PELP1
HNRNPA1
PI4KA
RRAGD
ELF1
MAGEH1
SAP30
FPR3
MCL1
LYN
RAD51
PLD2
BRAF
CA7
FSHR
LPAR4
GRIN2A
RHOQ
CHRD
CTDSP2
CYP1B1
PLXND1
SELPLG
ITGA11
TNF
COL18A1
IFNB1
FASN
DROSHA
CASP7
TSC2
COL4A5
CFL2
CEP164
CCKBR
RNF187
RAC1
PTPRK
SREBF1
DCP1A
FST
MMAB
UBE2D3
DAGLA
PAOX
IRF8
PLK3
NCOR2
BLNK
HSF1
ITM2B
RIN1
BIN1
NRIP1
COL11A1
PRRT2
JAG2
GTF3A
DNMT3A
CBX4
IKBKE
HSPA8
RIMS1
MYOF
RPS27L
NOXA1
PVR
RABIF
LHB
E2F2
MAP3K4
SLC25A4
APOB
ITGB8
FOS
MNAT1
ARF6
IL13RA2
CBL
LTBR
HDAC3
KLC1
FBXO11
NEUROG1
WNT1
COL5A2
CXCR1
OCLN
CDX1
CTNND1
TDGF1
RFC3
CYP2C18
RAB3GAP2
ARHGAP6
PIP4K2A
CDK7
ALDOA
DOCK11
RB1
LCK
TBP
STX1A
ST6GALNAC2
MAP3K2
RASGRP2
PPARG
CAPN2
SETDB1
SNX2
KLK2
DAB2
SH3GL1
SEMA4A
CEBPA
COL6A3
ONECUT1
RNPEP
MOB1B
THBD
F11R
GGA3
ZAP70
PDGFB
TBC1D4
EOMES
ZFAS1
TUBA1A
PRKD1
UCHL1
PLCG2
HUWE1
TMEM126A
RASGRP4
USP2
SIRPB1
MTA1
TXNIP
NEDD9
RPS6KA3
RND2
