,0
406,SLC35F1
407,UBE3A
408,UXS1
409,ADAMTS2
410,DLX5
411,CRB1
412,SYT10
413,KCNH1
414,MST1R
415,SLC41A1
416,EPAS1
417,HMCN1
418,IGF1R
419,MAP2K1
420,TAF4
421,RRAGD
422,PRKG1
423,UNC45B
424,ZNF462
425,HRG
426,MGAT3
427,CDK14
428,SEC63
429,SARS
430,COL18A1
431,CA14
432,TESK2
433,KCNQ2
434,GXYLT1
435,SYNGAP1
436,NCL
437,ADAMTSL3
438,VPS18
439,DPYSL3
440,HAP1
441,EPHA2
442,ASTN2
443,PGM2
444,ELFN2
445,UBN2
446,SLITRK5
447,HIVEP2
448,LDB3
449,PHF2
450,NFATC1
451,TNIP1
452,SCRIB
453,ITPR3
454,MAGI2
455,CDH4
456,KCNK9
457,PLXNA1
458,MYOZ1
459,TEAD1
460,ZFPM2
461,ERC2
462,COL25A1
463,PYHIN1
464,ZNF365
465,DLGAP3
466,SPTB
467,LHX9
468,THRAP3
469,EPS8L2
470,AARS2
471,ADAMTS13
472,MGAT5B
473,PDCD6IP
474,TOPORS
475,ADAMTSL1
476,ZNF251
477,IGSF3
478,AFF3
479,PDE9A
480,TMCC2
481,MOV10
482,TRPC7
483,LPP
484,LAMP3
485,NFKB1
486,ADAM19
487,CARD11
488,HRH1
489,KATNB1
490,PFKFB3
491,THBS4
492,ZNF518B
493,PRDM2
494,MMAA
495,GPRIN1
496,MAGI1
497,PRDM13
498,KIF23
499,SH3PXD2A
500,EXT1
501,NOTCH1
502,USP36
503,TET1
504,PCDH1
505,WDR35
506,STARD3
507,DSE
508,SMAP1
509,EPHA5
510,PRMT3
511,ZNF337
512,ABLIM2
513,CHRD
514,MITF
515,RFX4
516,CTNNA3
517,ARID5B
518,IPO5
519,CAMK2D
520,KIF5C
521,POLM
522,A2M
523,UBASH3A
524,CACNA1H
525,MYH1
526,RABEP2
527,GRIK2
528,CARD14
529,GNPTAB
530,RANBP3
531,DST
532,SLC38A1
533,GFRA2
534,GUSB
535,HELB
536,STAT1
537,PMEPA1
538,RC3H2
539,SCARA5
540,ABCB8
541,GLT8D1
542,ANGPT4
543,EEA1
544,TUFM
545,SLC38A4
546,EPB41L2
547,ABCB1
548,DLGAP2
549,TBC1D1
550,APOA1
551,LIMS2
552,SLC6A9
553,HDAC4
554,ACSF3
555,ACTR3B
556,COL4A2
557,ITGB4
558,NTRK3
559,CACNA2D1
560,MYH11
561,CNKSR1
562,CHRM2
563,HIVEP3
564,TBCD
565,TTYH2
566,SLAMF1
567,PLA2G4F
568,INPP5D
569,RBM6
570,ZFYVE9
571,RC3H1
572,BCAR1
573,CHRNB2
574,INTS2
575,TNRC6A
576,JAK1
577,LCA5
578,ZNF692
579,ZNF623
580,CDK13
581,KDM4A
582,TFAP2B
583,ZKSCAN1
584,MED13L
585,RTF1
586,ZKSCAN5
587,HERC2
588,MYO3A
589,BRD1
590,APLP2
591,STK10
592,RASGRP2
593,DOCK5
594,SIX6
595,TBX4
596,ELMO1
597,MOGAT3
598,WDFY3
599,TCF7L2
600,ESPL1
601,PKN1
602,NEB
603,PCDH10
604,COL16A1
605,FZD6
606,DOCK7
607,MCCC1
608,EML4
609,ADD1
610,DDX58
611,ALKBH5
612,MKKS
613,CDCA7
614,ENAH
615,IGFN1
616,HEPACAM2
617,BLVRA
618,FUK
619,PPFIA1
620,ABL1
621,GNA11
622,ETS2
623,ASPH
624,TNXB
625,HACE1
626,NCOR2
627,NR2E1
628,ATG7
629,ZCCHC8
630,ZNF148
631,SMAD2
632,BUB3
633,ARHGEF10L
634,FMNL3
635,MICALL2
636,SUSD4
637,COL11A1
638,TBX15
639,ITGA7
640,ASXL1
641,ECM1
642,RALGAPA2
643,CR1
644,ANK1
645,ADORA1
646,POU6F2
647,HLTF
648,ABCG1
649,CACNB2
650,SALL1
651,GK2
652,LHX4
653,RIMS2
654,PTPRG
655,PLXNA4
656,GLG1
657,GRK1
658,HTR1B
659,SRL
660,TBX5
661,MMP9
662,HKDC1
663,ATXN2L
664,FAM171B
665,SFI1
666,MSI2
667,AASS
668,RFWD3
669,PREP
670,ITPR2
671,EP300
672,ACAD9
673,SLC38A10
674,TAGAP
675,KIFC1
676,HOXA2
677,FPGS
678,PIGT
679,PASK
680,TACC1
681,SLC9A3
682,ZC3HAV1
683,GPC6
684,SPAG1
685,TRRAP
686,NR4A2
687,NEK8
688,TAF3
689,PFAS
690,DSC2
691,ONECUT2
692,TBC1D4
693,ITGA8
694,TRERF1
695,MYO15A
696,MCM5
697,USP32
698,FBLN2
699,TRIM42
700,IL27
701,RNF17
702,GABRB1
703,PLA2G4D
704,UBE3C
705,RP1
706,RFTN1
707,TJP1
708,MMP15
709,ZNF423
710,TCF25
711,LTBP3
712,PLXNB1
713,FURIN
714,NIPA1
715,ATP2C2
716,PCDH17
717,SOHLH2
718,LAMC2
719,OLFM2
720,LHCGR
721,RTN4
722,CNGA3
723,SETD1A
724,HK1
725,EBF1
726,P4HA3
727,ARAP1
728,TSNAXIP1
729,RAD54L2
730,CYFIP1
731,SPG7
732,HEG1
733,CAND2
734,ITGB1
735,MYO9B
736,MKRN3
737,GAP43
738,PDZRN3
739,ANO2
740,TRIOBP
741,CD8A
742,ABAT
743,CLPTM1L
744,PRLR
745,C1GALT1
746,HS6ST1
747,ZNF10
748,BNC1
749,DGKD
750,UVRAG
751,UBR4
752,MON2
753,PAN2
754,GRB10
755,PCCA
756,LAMC3
757,GAD1
758,SPATA13
759,LRIG1
760,ZNF3
761,CNDP1
762,FGD2
763,SEMA6D
764,RAI14
765,FAT3
766,LRP8
767,ECE1
768,SIRPB2
769,MAP2K3
770,EPHB3
771,CELSR1
772,PGAP1
773,DTX1
774,RHOT1
775,ZNF616
776,SPON1
777,SLC6A3
778,SLC1A3
779,CDH23
780,KIAA0319L
781,CHN1
782,ATF7IP
783,NINJ2
784,DEF6
785,EXOC6
786,NAP1L1
787,PDE2A
788,EEF1A1
789,ABCC4
790,KPRP
791,DNAJC14
792,RPS6
793,NPAS3
794,ITIH5
795,TACC2
796,GALNT6
797,ABLIM3
798,TAF5
799,DNM3
800,UPF2
801,CUX1
802,FRMD4A
803,CD200R1
804,LMO7
805,DHX30
806,CR2
807,RET
808,FCRL5
809,CASKIN1
810,COPB1
811,CHRNA4
812,RPTOR
813,DMRT2
814,RGS9
815,RAB11FIP1
816,FGFR2
817,OBSCN
818,ZDHHC5
819,SDCCAG8
820,TOX
821,PTK7
822,EYS
823,GABRB2
824,CDC73
825,CHD5
826,KCNH2
827,NCOR1
828,CLK2
829,TGM3
830,ESRRG
831,EEF2K
832,CYP4X1
833,WNT2B
834,TLR5
835,PREX1
836,VPS52
837,LPCAT1
838,JAKMIP1
839,LAMB3
840,PARP4
841,ARHGAP24
842,CEP135
843,VAC14
844,MATN2
845,MED25
846,ANO1
847,TSC2
848,SIRT7
849,SEC16A
850,DAB2
851,WDR75
852,MYO18A
853,CX3CR1
854,FDFT1
855,NF1
856,PKD1
857,CRISPLD2
858,ZNF519
859,LRRC4C
860,ZFAT
861,ANLN
862,TBL3
863,GNAS
864,MSX1
865,NLRP1
866,MYLK
867,FERMT1
868,GRM3
869,NUP93
870,KIAA0556
871,PCDHB16
872,PPP2R5D
873,FCGRT
874,GPT2
875,SLC22A11
876,AP3B1
877,EMILIN3
878,TELO2
879,MGAT4B
880,NTM
881,SEMA6A
882,TMPRSS6
883,ACACA
884,RYR1
885,SLK
886,MYH9
887,CALN1
888,ANKFY1
889,MAST4
890,BTAF1
891,GLI3
892,UTRN
893,STOX1
894,ANKS1A
895,ZNF467
896,BCR
897,VAV2
898,EVPL
899,RNF103
900,DCHS1
901,ANXA13
902,NFATC3
903,LTBP1
904,PARD3
905,MAST1
906,PNPLA8
907,HOXA1
908,TRA2A
909,COL14A1
910,MAVS
911,ABCC8
912,COL9A3
913,HNRNPM
914,SDK2
915,ANKRD26
916,SBF2
917,RUNX1
918,RP1L1
919,ACSBG1
920,SLC9A2
921,ERC1
922,PLXND1
923,NMD3
924,PANK4
925,ABCB11
926,F11R
927,POU2F1
928,IKZF1
929,ARHGAP11A
930,ZNF274
931,ALMS1
932,AGRN
933,MYO7A
934,LRRC32
935,CD5
936,LRRK1
937,INPP5B
938,AHRR
939,DNMT3B
940,AXIN1
941,HDLBP
942,AGAP3
943,PRKAA1
944,TTC3
945,PPP3CA
946,MAML2
947,GRM2
948,ARNT
949,CACNA1E
950,IRS1
951,SLTM
952,MTMR9
953,TLR3
954,WASF2
955,KLF7
956,BRDT
957,TGFBR3
958,HTR2A
959,PDZD2
960,EXO1
961,SPAG17
962,CTSF
963,NAV1
964,SLCO3A1
965,HNRNPA2B1
966,CUBN
967,G3BP1
968,CPEB1
969,EBF2
970,VIT
971,IL12RB2
972,DEPDC1
973,ACVR1B
974,GRAMD4
975,MYOM2
976,ATP2B4
977,TDRD3
978,ANXA3
979,FBXO17
980,ETS1
981,SLIT3
982,ENPP2
983,RLF
984,AATK
985,MASP1
986,SPEN
987,LNX1
988,SEPT9
989,KCNAB1
990,NRG1
991,MAPK10
992,PTPRM
993,RTKN
994,CLTCL1
995,TFAP2A
996,ERBB4
997,HNRNPF
998,CCNF
999,ROR1
1000,DLC1
1001,KIF13B
1002,ACTN2
1003,EXTL3
1004,VCAN
1005,UNC5C
1006,MPHOSPH8
1007,HDAC9
1008,PEX6
1009,TRIO
1010,WASL
1011,CDH7
1012,LEMD2
1013,AKAP9
1014,LAMA2
1015,LIMK1
1016,PDE4D
1017,ATOH1
1018,ELL2
1019,CACNA1D
1020,SNRNP200
1021,NR1H2
1022,FGF23
1023,APC2
1024,TDRD1
1025,ZBTB2
1026,MUC6
1027,SLC5A11
1028,GPLD1
1029,PRKD2
1030,CSE1L
1031,ZNF780A
1032,B4GALT5
1033,SREBF1
1034,SMTN
1035,SMCHD1
1036,GRIA4
1037,PSD3
1038,NMNAT2
1039,FLI1
1040,SIPA1L3
1041,SAAL1
1042,NRXN1
1043,C3
1044,CACNB1
1045,TBX3
1046,FAP
1047,MMP10
1048,BMPER
1049,COPS3
1050,MACF1
1051,KCNJ12
1052,ACY3
1053,AP1B1
1054,CD248
1055,IWS1
1056,PTCD3
1057,HERC4
1058,ANKS1B
1059,SMYD3
1060,KDM3A
1061,GSS
1062,RASIP1
1063,ACSS3
1064,TRIM29
1065,ABCB10
1066,PCSK4
1067,CASQ2
1068,HIPK2
1069,NCKAP1
1070,HSPG2
1071,CEP57
1072,AXL
1073,SETX
1074,HMGCR
1075,LTK
1076,PDE10A
1077,FGF18
1078,EVC
1079,BTRC
1080,P4HTM
1081,P2RX7
1082,SMAD3
1083,EPDR1
1084,R3HDM2
1085,SRPK2
1086,TFIP11
1087,MEIS2
1088,HK2
1089,MYB
1090,BEST1
1091,CHRNB3
1092,AEN
1093,ELAVL1
1094,NFRKB
1095,PPP2R3A
1096,BTN2A1
1097,NEUROD1
1098,DNAH7
1099,SERPING1
1100,SYTL3
1101,ARID1A
1102,AK5
1103,PTPN12
1104,RARB
1105,ICOS
1106,KIF17
1107,RFC4
1108,MAP3K10
1109,YLPM1
1110,INTS8
1111,COL6A2
1112,ANKRD28
1113,TAS1R2
1114,UMOD
1115,DNAJC2
1116,HNRNPL
1117,DSCAML1
1118,CACNA1B
1119,EDNRA
1120,UNC13A
1121,ATP2B2
