AGID00314,AGID00314,CDK1_pY15,CDK1
AGID00423,AGID00423,CDT1,CDT1
AGID02101,AGID02101,cGAS,CGAS
AGID00447,AGID00447,CHD1L,CHD1L
AGID00189,AGID00189,CHK1,CHEK1
AGID00234,AGID00234,CHK1_pS296,CHEK1
AGID00107,AGID00107,CHK1_pS345,CHEK1
AGID00018,AGID00018,CHK2,CHEK2
AGID00019,AGID00019,CHK2_pT68,CHEK2
AGID00527,AGID00527,CIAP,BIRC2
AGID00350,AGID00350,CIITA,CIITA
AGID00434,AGID00434,CJUN_pS73,JUN
AGID00020,AGID00020,CKIT,KIT
AGID00400,AGID00400,CLAUDIN7,CLDN7
AGID00466,AGID00466,CMET,MET
AGID00079,AGID00079,CMET_pY1235,MET
AGID00167,AGID00167,CMYC,MYC
AGID00292,AGID00292,COG3,COG3
AGID00021,AGID00021,COLLAGENVI,COL6A1
AGID00141,AGID00141,COMPLEXIISUBUNIT30,SDHB
AGID00267,AGID00267,Connexin-43,GJA1
AGID00269,AGID00269,Coup-TFII,NR2F2
AGID00150,AGID00150,Cox-IV,COX4I1
AGID00195,AGID00195,Cox2,PTGS2
AGID00188,AGID00188,CRAF,RAF1
AGID00022,AGID00022,CRAF_pS338,RAF1
AGID00023,AGID00023,Creb,CREB1
AGID00393,AGID00393,CREB_pS133,CREB1
AGID00365,AGID00365,CSK,CSK
AGID00367,AGID00367,CtIP,RBBP8
AGID00536,AGID00536,CTLA4,CTLA4
AGID00025,AGID00025,Cyclin-D3,CCND3
AGID00024,AGID00024,CYCLINB1,CCNB1
AGID00382,AGID00382,CYCLIND1,CCND1
AGID00437,AGID00437,CYCLINE1,CCNE1
AGID00449,AGID00449,CYCLINE2,CCNE2
AGID00209,AGID00209,Cyclophilin-F,PPIF
AGID00247,AGID00247,D-a-Tubulin,TUBA4A
AGID00308,AGID00308,DAPK1_pS308,DAPK1
AGID00304,AGID00304,DAPK2,DAPK2
AGID00343,AGID00343,DDB-1,DDB1
AGID00427,AGID00427,DDR1,DDR1
AGID00428,AGID00428,DDR1_pY513,DDR1
AGID00532,AGID00532,DIRAS3,DIRAS3
AGID00104,AGID00104,DJ1,PARK7
AGID02146,AGID02146,DM-Histone-H3,H3C1
