,pretrain_score
0,-0.6157203062786446
1,-0.6198236456898798
2,-0.6137939966640236
3,-0.6122639982791154
4,-0.6113418363661195
5,-0.6144611008757566
6,-0.6161314948519653
7,-0.6116020371556216
8,-0.616357660709612
9,-0.6112591569483029
10,-0.6138284281307174
11,-0.6152426134700556
12,-0.6142921967968712
13,-0.6149318282244356
14,-0.6172801410553257
15,-0.6202265839484369
16,-0.6204871086168239
17,-0.6222946176054872
18,-0.620137122247132
19,-0.6208092820951416
20,-0.6193416121643796
