,pretrain_score
0,1.2330624155993792
1,1.2512627329081396
2,1.36544729024852
3,1.1682706594343935
4,1.1325980917572571
5,1.1535187672294334
6,1.2257364619125624
7,1.254868228122271
8,1.0570170307852969
9,1.1203617516113915
10,1.1447273692294595
11,1.17340004484012
12,1.1071663080614271
13,1.2550022497345377
14,1.2051645742411474
15,1.1568411400978538
16,1.3284111940142653
17,1.124151297610636
18,1.376613616024093
19,1.4000755254392947
20,1.0828148936582744
