,pretrain_score
0,-0.7208948628094694
1,-0.740296270577933
2,-0.738749303823595
3,-0.7437488309683744
4,-0.7481066767643003
5,-0.7450485584330714
6,-0.7515660785691203
7,-0.7268302873940518
8,-0.7478805701106661
9,-0.7466811445221656
10,-0.7451640780138495
11,-0.7356851875340757
12,-0.7461558253988789
13,-0.7288156064253206
14,-0.7394840984613467
15,-0.7454250196685293
16,-0.7465878498891947
17,-0.723974161111375
18,-0.7271804185552659
19,-0.7381120167030324
20,-0.7450407778760408
