,pretrain_score
0,1.0217662587547693
1,1.1035859069502614
2,1.0214029033999532
3,1.0477501398239621
4,1.3490402556208134
5,0.9056507614461657
6,1.1531387629588576
7,1.3832052069354743
8,1.199158271707689
9,1.3253673570506304
10,1.248179735379714
11,1.3260537758650883
12,1.3723614249857206
13,1.2501253716641252
14,1.3364863354896603
15,1.3685922023953427
16,1.2660025560509822
17,1.3171628957554256
18,1.3617554988137006
19,1.360303718472618
20,1.4452559892949899
